MRR,Date,XcoordGPS,YcoordGPS,ColMethod,variable,NumMoz,relSite
1,2013-10-12T00:00:00Z,-4.470237,11.231125,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472648,11.233849,Swarm,Male Mark A,2,A
1,2013-10-12T00:00:00Z,-4.47276,11.233868,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472708,11.233841,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472586,11.233891,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472935,11.234441,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472926,11.234531,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472799,11.234499,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47276,11.23507,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472993,11.235446,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47299,11.235464,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472916,11.236208,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.473026,11.236207,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.472979,11.236017,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47298,11.236059,Swarm,Male Mark A,1,A
1,2013-10-12T00:00:00Z,-4.472945,11.236046,Swarm,Male Mark A,1,A
1,2013-10-12T00:00:00Z,-4.472226,11.235659,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.471238,11.234225,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.47124,11.234133,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.469475,11.234917,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470698,11.234021,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470689,11.234121,Swarm,Male Mark A,0,A
1,2013-10-12T00:00:00Z,-4.470623,11.2341,Swarm,Male Mark A,0,A
